,Date,Confirmed,Deaths,Recovered
0,2020-01-22,557,17,30
1,2020-01-23,657,18,32
2,2020-01-24,944,26,39
3,2020-01-25,1437,42,42
4,2020-01-26,2120,56,56
5,2020-01-27,2929,82,65
6,2020-01-28,5580,131,108
7,2020-01-29,6169,133,126
8,2020-01-30,8237,172,143
9,2020-01-31,9927,214,222
10,2020-02-01,12038,260,284
11,2020-02-02,16787,364,463
12,2020-02-03,19887,428,608
13,2020-02-04,23899,494,826
14,2020-02-05,27644,566,1077
15,2020-02-06,30806,636,1424
16,2020-02-07,34339,721,1908
17,2020-02-08,37070,808,2471
18,2020-02-09,40098,908,3060
19,2020-02-10,42636,1015,3717
20,2020-02-11,44679,1115,4418
21,2020-02-12,45057,1120,4850
22,2020-02-13,60209,1373,5929
23,2020-02-14,66694,1525,7616
24,2020-02-15,68770,1668,8904
25,2020-02-16,70883,1772,10321
26,2020-02-17,72819,1870,11955
27,2020-02-18,74613,2010,13693
28,2020-02-19,75034,2125,15396
29,2020-02-20,75582,2248,17373
30,2020-02-21,76212,2252,17970
31,2020-02-22,77974,2460,21855
32,2020-02-23,78299,2470,22307
33,2020-02-24,78867,2630,24049
34,2020-02-25,79721,2710,26654
35,2020-02-26,80679,2770,29081
36,2020-02-27,82023,2813,31924
37,2020-02-28,83447,2870,35309
38,2020-02-29,85318,2940,38317
39,2020-03-01,87697,2994,41213
40,2020-03-02,89677,3084,44088
41,2020-03-03,92288,3158,46680
42,2020-03-04,94610,3254,49619
43,2020-03-05,97321,3349,52237
44,2020-03-06,101251,3463,54269
45,2020-03-07,105382,3567,56759
46,2020-03-08,109236,3809,59093
47,2020-03-09,113559,4003,60893
48,2020-03-10,118345,4278,62800
49,2020-03-11,125821,4629,65110
50,2020-03-12,132577,4950,66438
51,2020-03-13,145769,5453,68363
52,2020-03-14,156657,5879,70729
53,2020-03-15,167890,6549,74138
54,2020-03-16,182457,7258,76192
55,2020-03-17,197625,8110,78936
56,2020-03-18,215178,9065,81422
57,2020-03-19,242265,10207,83063
58,2020-03-20,271794,11781,85508
59,2020-03-21,304221,13587,89754
60,2020-03-22,338431,15415,95972
61,2020-03-23,380986,17509,96460
62,2020-03-24,422869,19933,105979
63,2020-03-25,474350,22904,111423
64,2020-03-26,535164,26154,119784
65,2020-03-27,599095,29793,128497
66,2020-03-28,668675,33842,136797
67,2020-03-29,725191,37660,146247
68,2020-03-30,790202,42029,161583
69,2020-03-31,868644,47193,174047
70,2020-04-01,954989,53832,189587
71,2020-04-02,1037431,60073,206303
72,2020-04-03,1121639,66569,221285
73,2020-04-04,1181772,72928,241292
74,2020-04-05,1253486,78849,254693
75,2020-04-06,1328212,85274,271157
76,2020-04-07,1397154,93791,293881
77,2020-04-08,1479331,101008,322399
78,2020-04-09,1566515,109159,346644
79,2020-04-10,1652946,116900,367687
80,2020-04-11,1728456,123880,393202
81,2020-04-12,1847036,130392,412050
82,2020-04-13,1918873,136903,438672
83,2020-04-14,2003491,144257,463272
84,2020-04-15,2081760,153021,499055
85,2020-04-16,2176219,160731,529200
86,2020-04-17,2264091,169613,554536
87,2020-04-18,2342319,176043,577981
88,2020-04-19,2418643,182143,608877
89,2020-04-20,2495135,188654,630358
90,2020-04-21,2571216,195847,664514
91,2020-04-22,2653233,203124,693333
92,2020-04-23,2735922,210395,721754
93,2020-04-24,2819492,217233,771390
94,2020-04-25,2902662,223282,798276
