Date,Confirmed,Deaths,Recovered,,#VALUE!
22-01-2020,557,17,30,,18.56666667
23-01-2020,657,18,32,,20.53125
24-01-2020,944,26,39,,24.20512821
25-01-2020,1437,42,42,,34.21428571
26-01-2020,2120,56,56,,37.85714286
27-01-2020,2929,82,65,,45.06153846
28-01-2020,5580,131,108,,51.66666667
29-01-2020,6169,133,126,,48.96031746
30-01-2020,8237,171,143,,57.6013986
31-01-2020,9927,213,222,,44.71621622
01-02-2020,12038,259,284,,42.38732394
02-02-2020,16787,362,463,,36.25701944
03-02-2020,19887,426,608,,32.70888158
04-02-2020,23899,492,826,,28.93341404
05-02-2020,27644,564,1077,,25.66759517
06-02-2020,30806,634,1424,,21.63342697
07-02-2020,34339,719,1908,,17.99737945
08-02-2020,37070,806,2471,,15.00202347
09-02-2020,40098,906,3060,,13.10392157
10-02-2020,42636,1013,3717,,11.47054076
11-02-2020,44679,1113,4418,,10.11294703
12-02-2020,46565,1118,4850,,9.601030928
13-02-2020,60209,1371,5929,,10.15500084
14-02-2020,66694,1523,7616,,8.757090336
15-02-2020,68770,1666,8904,,7.723495058
16-02-2020,70883,1770,10321,,6.867842263
17-02-2020,72819,1868,11955,,6.091091593
18-02-2020,74613,2008,13693,,5.448988534
19-02-2020,75034,2123,15396,,4.873603533
20-02-2020,75582,2246,17373,,4.350543948
21-02-2020,76212,2250,17970,,4.241068447
22-02-2020,77974,2457,21855,,3.567787692
23-02-2020,78299,2467,22307,,3.510064105
24-02-2020,78867,2627,24049,,3.279429498
25-02-2020,79721,2707,26654,,2.990958205
26-02-2020,80679,2767,29081,,2.774285616
27-02-2020,82023,2810,31924,,2.569320887
28-02-2020,83447,2867,35309,,2.363335127
29-02-2020,85318,2937,38317,,2.226635697
01-03-2020,87697,2991,41213,,2.127896538
02-03-2020,89677,3080,44088,,2.034045545
03-03-2020,92288,3154,46680,,1.977035133
04-03-2020,94610,3249,49619,,1.906729277
05-03-2020,97321,3342,52237,,1.863066409
06-03-2020,101251,3455,54269,,1.865724447
07-03-2020,105382,3560,56759,,1.856657094
08-03-2020,109236,3801,59093,,1.848543821
09-03-2020,113559,3991,60893,,1.864894159
10-03-2020,118345,4267,62800,,1.884474522
11-03-2020,125821,4611,65110,,1.932437414
12-03-2020,132577,4922,66438,,1.995499564
13-03-2020,145769,5412,68363,,2.132279157
14-03-2020,156657,5836,70729,,2.214890639
15-03-2020,167890,6489,74138,,2.264560684
16-03-2020,182457,7170,76192,,2.394700231
17-03-2020,197625,7982,78936,,2.50361052
18-03-2020,215179,8901,81423,,2.642729941
19-03-2020,242266,10011,83064,,2.916618511
20-03-2020,271795,11503,85509,,3.178554304
21-03-2020,304222,13232,89755,,3.389471339
22-03-2020,338431,14914,95972,,3.526351436
23-03-2020,380986,16882,96460,,3.949678623
24-03-2020,422871,19197,105979,,3.990139556
25-03-2020,474350,22028,111423,,4.257200039
26-03-2020,535165,25055,119784,,4.467750284
