"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
USA,"97,481,146",,1078457,,93791221,,2611468,3434,290989,3219,1110686548,3315490,334999208,NorthAmerica,3,311,0
India,"44,528,524",,528302,,43953374,,46848,698,31583,375,890947746,631921,1409903071,Asia,32,2669,2
France,"34,860,085",,154672,,34310015,,395398,869,531471,2358,271490188,4139094,65591689,Europe,2,424,0
Brazil,"34,621,481",,685350,,33706231,,229900,8318,160367,3175,63776166,295412,215888753,SouthAmerica,6,315,3
Germany,"32,680,355",,148933,,31894500,11800,636922,1406,387327,1765,122332384,1449880,84374138,Europe,3,567,1
S. Korea,"24,359,702",43400,27782,57,23114754,115459,1217166,516,474234,541,15804065,307673,51366375,Asia,2,1849,3
UK,"23,585,305",,189484,,23293840,3268,101981,146,343450,2759,522526476,7609050,68671710,Europe,3,362,0
Italy,"22,131,785",,176508,,21529555,,425722,142,367235,2929,244660435,4059675,60266021,Europe,3,341,0
Japan,"20,566,116",77804,43533,186,19635346,117079,887237,309,163712,347,74962090,596719,125623837,Asia,6,2886,2
Russia,"20,324,039",,385837,,19294876,,643326,2300,139137,2641,273400000,1871676,146072295,Europe,7,379,1
Turkey,"16,852,382",,101068,,16705878,4598,45436,975,195188,1171,162743369,1884934,86339026,Asia,5,854,1
Spain,"13,384,876",,113725,,13189537,,81614,339,286034,2430,471036328,10066026,46794667,Europe,3,411,0
Vietnam,"11,454,079",,43137,,10508736,,902206,129,115385,435,85826548,864590,99268532,Asia,9,2301,1
Australia,"10,157,316",1430,14749,4,10064797,,77770,55,388397,564,78805440,3013372,26151912,Australia/Oceania,3,1773,0
Argentina,"9,697,763",,129830,,9539893,2833,28040,322,210319,2816,35716069,774589,46109678,SouthAmerica,5,355,1
Netherlands,"8,405,580",,22626,,8347534,,35420,31,488175,1314,21107399,1225864,17218391,Europe,2,761,1
Iran,"7,542,230",,144273,,7319561,,78396,341,87332,1671,53905794,624182,86362253,Asia,11,599,2
Mexico,"7,068,348",,329868,,6332342,,406138,4798,53581,2501,18322171,138891,131917962,NorthAmerica,19,400,7
Indonesia,"6,405,044",,157876,,6218708,,28460,2771,22884,564,107849082,385316,279897536,Asia,44,1773,3
Colombia,"6,305,562",,141746,,6132645,,31171,342,121079,2722,36469553,700286,52078068,SouthAmerica,8,367,1
Poland,"6,238,544",,117341,,5335950,,785253,2782,165236,3108,37143829,983804,37755317,Europe,6,322,1
